chamber_id,indicator_id,country_context,supporting_evidence
AUS_low,I1,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Reference: most recent annual transparency report.
AUS_low,I2,"Available in the national language only, no official translation.","No public documentation found at time of assessment.; See parliament website, official publications section."
AUS_low,I3,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified."
AUS_low,I4,"Provided only upon formal request, not proactively disclosed.","Illustrative placeholder — not independently verified.; See parliament website, official publications section."
AUS_low,I5,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified."
AUS_low,I6,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
AUS_low,I7,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
AUS_low,I8,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
AUS_low,I9,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
AUS_low,I10,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
AUS_low,I11,Practice varies by session; not consistently applied.,"Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
AUS_low,I12,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
AUS_low,I13,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
AUS_low,I14,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
AUS_low,I15,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
AUS_low,I16,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
AUS_low,I17,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.; Reference: most recent annual transparency report.
AUS_low,I18,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified.; No public documentation found at time of assessment."
AUS_low,I19,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
AUS_low,I20,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
AUS_low,I21,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
AUS_low,I22,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Illustrative placeholder — not independently verified.; No public documentation found at time of assessment."
AUS_low,I23,"Available in the national language only, no official translation.","No public documentation found at time of assessment.; See parliament website, official publications section.; Illustrative placeholder — not independently verified."
AUS_low,I24,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
AUS_low,I25,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
AUS_low,I26,"Available in the national language only, no official translation.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
AUS_low,I27,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
AUS_low,I28,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
AUS_low,I29,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
AUS_low,I30,"Provided only upon formal request, not proactively disclosed.","Illustrative placeholder — not independently verified.; See parliament website, official publications section.; No public documentation found at time of assessment."
AUS_low,I31,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
